annee;diplome;situation;genre;disciplines;code_du_domaine;domaine;code_de_la_discipline;discipline;code_du_secteur_disciplinaire;secteur_disciplinaire;nombre_de_reponses;taux_d_insertion;taux_d_emploi;taux_d_emploi_salarie_en_france;emplois_cadre_ou_professions_intermediaires;emplois_cadre;emplois_exterieurs_a_la_region_de_l_universite;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;salaire_net_des_emplois_a_temps_plein_1_er_quartile;salaire_net_des_emplois_a_temps_plein_3eme_quartile;diplomes_boursiers;femmes;taux_de_chomage_national;salaire_net_mensuel_median_national;code_du_secteur_disciplinaire_sise;salaire_net_mensuel_national_1er_quartile;salaire_net_mensuel_national_3eme_quartile;cle_disc;statut_liberal;statut_fonct;statut_cdi;statut_cdimiss;statut_conspe;statut_cdd;statut_vac;statut_interim;statut_intermit;statut_contrpro;statut_aide;statut_volont;employ_meme;employ_fp;employ_entrpriv;employ_entrpub;employ_asso;employ_libe;employ_orga;employ_sem;employ_parti;secteur_agri;secteur_indus;secteur_constr;secteur_immo;secteur_comm;secteur_info;secteur_fin;secteur_spe;secteur_serv;secteur_ens;secteur_admin;secteur_sante;secteur_arts;secteur_autres;niveau_agri;niveau_articomm;niveau_lib;niveau_cata;niveau_inge;niveau_catb;niveau_tech;niveau_catc;niveau_ouvr;niveau_empl
2019;MASTER LMD;18 mois après le diplôme;hommes;Droit, économie et gestion>Droit>Sciences juridiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_01;Sciences juridiques;879;88;;;90;67;41;66;97;2000;34300;1700;2440;29;;7.2;1980;SD36;1480;2480;disc02_01_18;3;14;48;0;;31;1;1;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;0;1;3;23;41;9;14;2;1;6
2018;MASTER LMD;30 mois après le diplôme;hommes;Droit, économie et gestion>Droit>Sciences juridiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_01;Sciences juridiques;;92;;;93;75;45;77;97;2230;34700;1880;2700;28;;7.8;1930;SD36;1490;2380;disc02_01_30;8;14;55;0;;21;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;MASTER LMD;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Sciences juridiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_01;Sciences juridiques;2387;86;;;78;49;42;59;94;1720;26900;1450;2060;27;72;10.1;1830;SD36;1460;2230;disc02_01_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;MASTER LMD;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Sciences juridiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_01;Sciences juridiques;2770;92;;;85;59;44;76;97;2000;31200;1640;2380;29;69;8.6;1865;SD36;1475;2280;disc02_01_30;7;12;58;;0;20;0;1;0;0;1;1;3;25;51;3;10;7;;;0;1;3;2;;6;3;18;12;5;3;21;9;2;15;;;;13;47;7;19;3;1;11
2012;MASTER LMD;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Sciences juridiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_01;Sciences juridiques;2387;91;;;83;54;42;76;96;1900;29600;1580;2280;27;72;10.1;1830;SD36;1460;2230;disc02_01_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;MASTER LMD;18 mois après le diplôme;femmes;Droit, économie et gestion>Droit>Sciences juridiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_01;Sciences juridiques;;87;;;76;;40;59;94;1700;26500;1410;2010;;;10.1;1830;SD36;1460;2230;disc02_01_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;MASTER LMD;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Sciences juridiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_01;Sciences juridiques;3409;93;;;92;68;41;77;97;2080;32400;1770;2500;30;71;7.8;1930;SD36;1490;2380;disc02_01_30;5;11;61;0;;20;0;1;0;0;0;1;4;26;51;3;9;6;1;0;0;1;4;2;5;4;5;18;15;5;3;23;7;3;5;0;1;5;16;47;7;17;1;0;5
2017;MASTER LMD;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Sciences politiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_02;Sciences politiques;527;85;;;88;72;42;44;95;1900;29600;1600;2300;33;58;7.8;1900;SD37;1470;2330;disc02_02_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Sciences politiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_02;Sciences politiques;307;84;;;83;61;41;57;92;1820;28400;1500;2280;27;60;9.9;1870;SD37;1490;2280;disc02_02_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;30 mois après le diplôme;hommes;Droit, économie et gestion>Droit>Sciences politiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_02;Sciences politiques;121;83;;;82;69;44;64;88;1900;29600;1500;2420;31;;9.9;1870;SD37;1490;2280;disc02_02_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
