session;type_du_diplome;filiere;diplome;intitule_du_diplome;code_du_diplome;scolaires_presents;scolaires_admis;taux_de_reussite_scolaire;apprentis_presents;apprentis_admis;taux_de_reussite_en_apprentissage;formation_continue_presents;formation_continue_admis;taux_de_reussite_en_formation_continue;individuels_presents;individuels_admis;taux_de_reussite_individuel;enseignement_a_distance_presents;enseignement_a_distance_admis;taux_de_reussite_enseignement_a_distance;total_presents;total_admis;taux_de_reussite_total;diplome_court
2020;BP;Alimentation, hôtellerie, restauration, tourisme;BP 33407 ARTS SERVICE COMMERC.RESTAURATION;ARTS SERVICE COMMERC.RESTAURATION;33407;;;;106;95;0.89622641509434;;;;;;;;;;106;95;0.8962264150943396;BP ARTS SERVICE COMMERC.RESTAURATION
2020;BP;Construction, bâtiment, travaux publics;BP 23315 PEINTRE APPLICATEUR REVETEMENTS;PEINTRE APPLICATEUR REVETEMENTS;23315;;;;117;105;0.897435897435898;2;2;1.0;;;;;;;119;107;0.8991596638655462;BP PEINTRE APPLICATEUR REVETEMENTS
2020;BP;Relation client, commerce, vente;BP 31206 FLEURISTE;FLEURISTE;31206;;;;97;84;0.865979381443299;1;1;1.0;;;;;;;98;85;0.8673469387755102;BP FLEURISTE
2020;BP;Santé, social, services à la personne et à la collectivité;BP 33104 PREPARATEUR EN PHARMACIE;PREPARATEUR EN PHARMACIE;33104;;;;588;481;0.818027210884354;108;88;0.814814814814815;;;;1;1;1.0;697;570;0.8177905308464849;BP PREPARATEUR EN PHARMACIE
2020;BP;Santé, social, services à la personne et à la collectivité;BP 33607 ESTHETIQUE COSMETIQUE PARFUMERIE;ESTHETIQUE COSMETIQUE PARFUMERIE;33607;;;;309;284;0.919093851132686;68;62;0.911764705882353;;;;;;;377;346;0.9177718832891246;BP ESTHETIQUE COSMETIQUE PARFUMERIE
2020;BTS;Biochimie industrielle;BTS 20113 CONTROL.INDUST.REGULAT.AUTOMATIQ;CONTROL.INDUST.REGULAT.AUTOMATIQ;20113;474;403;0.850210970464135;112;98;0.875;16;15;0.9375;;;;;;;602;516;0.8571428571428571;BTS CONTROL.INDUST.REGULAT.AUTOMATIQ
2020;BTS;Biochimie industrielle;BTS 22103 QUALIT.DS INDUS.ALIM.& BIO-INDUS;QUALIT.DS INDUS.ALIM.& BIO-INDUS;22103;213;179;0.84037558685446;22;21;0.954545454545455;;;;;;;;;;235;200;0.851063829787234;BTS QUALIT.DS INDUS.ALIM.& BIO-INDUS
2020;BTS;Biochimie industrielle;BTS 22104 BIOTECHNOLOGIES;BIOTECHNOLOGIES;22104;502;485;0.966135458167331;9;9;1.0;;;;;;;;;;511;494;0.9667318982387475;BTS BIOTECHNOLOGIES
2020;BTS;Biochimie industrielle;BTS 22312 TRAITM.MATERX OP_B: TRAIT.SURFAC;TRAITM.MATERX OP_B: TRAIT.SURFAC;22312;61;53;0.868852459016393;3;3;1.0;;;;;;;;;;64;56;0.875;BTS TRAITM.MATERX OP_B: TRAIT.SURFAC
2020;BTS;Biochimie industrielle;BTS 22506 EUROPL.COMPOS.OPT.PIL.OPTIM.PROD.;EUROPL.COMPOS.OPT.PIL.OPTIM.PROD.;22506;110;93;0.845454545454546;81;70;0.864197530864198;1;1;1.0;;;;;;;192;164;0.8541666666666666;BTS EUROPL.COMPOS.OPT.PIL.OPTIM.PROD.
